d3907538-375d-462d-ae3b-84053293b5d7,besideyou,Beside You,"",181,181,alice_append_1,110,0,1607558400,3.3,false,true,25,60,87,-1,4,12,16,-1,526,634,703,-1,CERiNG,CERiNG,CERiNG,"",にもし,にもし,にもし,"",false,false,false,false,江口孝宏
b617878e-7613-4332-85ce-b2c57e1d572c,bethere,Be There,"",164,164,single,133,0,1527811201,1.6,false,true,40,75,94,-1,8,14,18,-1,592,792,982,-1,Nitro,Nitro,Be Nitro,"",hie,hie,hie,"",false,false,false,false,PSYQUI
cb60a786-eb8c-4b38-b939-25a27721706f,blacklotus,Black Lotus,"",200,200,extend,115,1,1590537611,3.0,true,true,30,65,97,-1,6,12,19,-1,653,687,965,-1,Exschwasion,Exschwasion,Exschwasion,"",百舌谷,百舌谷,百舌谷,"",false,false,false,false,wa.
b987ce04-931f-4fe4-8e93-068989301136,blackterritory,Black Territory,"",200,200,zettai,140,1,1553126403,2.0,false,true,30,75,97,-1,6,14,19,-1,627,785,1195,-1,NitroNukeδ,NitroNukeδ,NitroNukeδ,"",トロ3,トロ3,トロ3,"",false,false,false,false,DJ Myosuke
6619ca16-b45c-4e63-9f73-14c99f335eb3,blaster,Blaster,"",180,180,base,137,1,1520553600,1.5,true,false,40,70,93,-1,8,14,18,-1,571,635,1002,-1,k//urorak,k//urorak,k//urorak,"",LAM,LAM,LAM,"",false,false,false,false,Massive New Krew
558ad7b7-f5f5-460f-884b-9aa98791774c,blockedlibrary,Blocked Library,"",148,148,dividedheart,134,1,1639008002,3.10,false,true,35,65,93,-1,6,12,18,-1,449,622,850,-1,Exschwasion,Exschwasion,Exschwasion,"",めとこ,めとこ,めとこ,"",false,false,false,false,影虎。
f0febcbd-c887-47ca-b43c-799cc1231fcd,blossoms,Blossoms,"",138,138,mirai,145,0,1502323201,1.1,false,true,10,40,70,-1,2,8,14,-1,275,383,655,-1,Nitro,Nitro,Nitro,"",T2Kazuya,T2Kazuya,T2Kazuya,"",false,false,false,false,T2Kazuya
1f8a4718-bda6-435c-acb9-31a02fc40810,blrink,BLRINK,"",115,115,prelude,163,1,1583712000,2.5,true,true,35,75,97,-1,6,14,19,-1,400,683,1015,-1,過去の縁,現在の縁,未来の縁,"",Sta,Sta,Sta,"",false,false,false,false,Sta
8c2c2e01-3dc0-42fe-a56c-ac4e82d954a5,bluecomet,blue comet,"",100-172,172,extend,144,0,1629849601,3.8,true,true,35,50,82,-1,6,10,16,-1,494,645,776,-1,Toaster,Toaster,Toaster,"",Bison,Bison,Bison,"",false,false,false,false,ああああ
58d38e7a-fced-45f6-9016-62263be12a67,bluerose,Blue Rose,"",250-295,295,dividedheart,156,0,1639008001,3.10,false,true,20,55,91,-1,4,10,18,-1,595,669,955,-1,CERiNG,CERiNG,CERiNG,"",チェリム,チェリム,チェリム,"",false,false,false,false,Cosmograph
aeda8406-4ecb-40c7-b6d1-ae4f01125829,bookmaker,Bookmaker (2D Version),"",175,175,base,150,1,1531699201,1.7,true,false,45,65,83,100,8,12,16,20,538,728,1124,1287,Kurorak,Kurorak,Kurorak,Toastmaker,窓壁九真好キ,窓壁九真好キ,窓壁九真好キ,窓壁九真好キ,false,false,false,true,Kobaryo
